,researcher_name,skills
48,"Fiedler, Kirk","{'business', 'computer science'}"
49,"Flora, Joseph","{'molecular modeling', 'computer modeling water quality engineering process', 'process water', 'dr flora', 'main molecular', 'modeling environmental', 'environmental reaction', 'dr flora main molecular modeling environmental reaction', 'computer modeling', 'modeling water', 'water quality', 'flora main', 'process water quality engineering', 'quality engineering', 'engineering process'}"
50,"Gadala-Maria, Francis","{'engineering centerroom main streetcolumbia', 'stanford', 'main streetcolumbia', 'centerroom main', 'engineering centerroom', 'sc'}"
51,"Gassman, Sarah","{'geotechnical', 'engineering', 'civil'}"
52,"Gatzke, Edward P.","{'optimization efficient operation chemical process requires fundamental understanding dynamic nonlinear characteristic variety controller formulation developed reduce product variability improve productivity estimation diagnostic method used develop process information easily directly acquired instrumentation recently', 'value taking', 'operation chemical', 'solution constrained', 'controller formulation', 'dynamic nonlinear', 'variety controller', 'understanding dynamic', 'area particulate', 'reduce method', 'nonseparable mixed', 'effort parallel', 'proposed application', 'process modeling', 'nonlinear characteristic', 'information easily', 'constrained mixed', 'online solution', 'control', 'parallel programming', 'bio process', 'unknown value', 'application require', 'integer outer', 'scale system', 'directly acquired', 'formulation developed', 'parallel nonconvex', 'nonconvex nonseparable', 'involving unknown', 'room main street columbia', 'main street', 'branch reduce', 'area process', 'used develop', 'characteristic variety', 'process information', 'including parallel', 'formulation involving', 'problem ongoing', 'approximation parallel', 'process requires', 'improve productivity', 'reduce product', 'sc gatzke area process modeling', 'including parallel nonconvex nonseparable mixed integer outer approximation parallel nonconvex branch reduce method application area particulate processing', 'optimization problem', 'programming effort', 'new moving', 'ongoing effort', 'nonconvex branch', 'room main', 'moving horizon', 'method used', 'outer approximation', 'horizon formulation', 'new moving horizon formulation involving unknown value taking discrete value proposed application require online solution constrained mixed integer optimization problem ongoing effort parallel programming effort mixed integer optimization', 'sc gatzke', 'value proposed', 'discrete value', 'easily directly', 'street columbia', 'gatzke area', 'productivity estimation', 'taking discrete', 'large scale', 'optimization efficient', 'application area', 'integer optimization', 'chemical process', 'diagnostic method', 'efficient operation', 'particulate processing', 'variability improve', 'method application', 'acquired instrumentation', 'product variability', 'large scale system', 'mixed integer', 'instrumentation recently', 'require online', 'fundamental understanding', 'develop process', 'estimation diagnostic', 'effort mixed', 'requires fundamental', 'developed reduce'}"
53,"Gerdes, Jr., John H.","{'support system', 'hold b', 'bethlehem', 'computer science', 'database management', 'columbia', 'software development', 'science vanderbilt', 'development new', 'one development', 'tenn', 'shanghai', 'measurement coke', 'tenn b', 'vanderbilt ha', 'web site', 'one dealign', 'cornell', 'decision support', 'vanderbilt', 'dr john', 'ha taught', 'suite', 'communication acm', 'gerdes associate', 'china article', 'gerdes hold', 'commerce telecommunication', 'dr gerdes', 'one development new public key certificate support user privacy currently associate editor electronic commerce telecommunication system', 'ph information', 'innovation assembly', 'department integrated', 'ohio state', 'site development', 'currently associate', 'user privacy', 'ph information system vanderbilt ha taught ohio state', 'web site development', 'c teach', 'taught ohio', 'management dr', 'eng mechanical', 'sc', 'information system', 'system vanderbilt', 'c teach software development', 'john gerdes', 'lehigh', 'certificate support', 'coke temperature', 'mechanical engineering', 'china article appeared communication acm', 'computer science vanderbilt', 'privacy currently', 'associate professor', 'integrated information', 'transaction iie', 'b eng', 'one dealign measurement coke temperature', 'ha authored', 'pa eng', 'engineering cornell', 'nashville', 'public key', 'ithaca', 'support user', 'professor department', 'jia tong', 'california riverside', 'dr john gerdes associate professor department integrated information', 'authored two', 'decision support system', 'electronic commerce', 'associate editor', 'telecommunication system', 'two patent', 'editor electronic', 'assembly street', 'teach software', 'innovation assembly street', 'appeared communication', 'database management dr gerdes hold b eng mechanical engineering cornell', 'article appeared', 'journal ha', 'new public', 'journal ha authored two patent', 'dealign measurement', 'key certificate'}"
54,"Gholizadeh, Sona","{'system analysis', 'engineering education', 'higher education'}"
55,"Gibbons, Joseph H.","{'ph', 'pittsburgh'}"
56,"Ginn, Herbert L.","{'swearingenroom main', 'swearingenroom main street columbia', 'main street', 'sc carolinamississippi state', 'sc carolinamississippi', 'carolinamississippi state', 'street columbia'}"
57,"Giurgiutiu (Jurjutzu), Victor","{'structural health', 'dr giurgiutiu span active material', 'journal article', 'smart structure', 'mechanic topic', 'physic applied', 'fellow royal', 'several book', 'applied mechanic', 'book book', 'article conference', 'editor aeronautical', 'mechanical engineer', 'engineer asme', 'span active', 'asme associate', 'topic dr', 'active material', 'american society', 'mechatronics', 'multi physic', 'society mechanical', 'journal raes', 'health monitoring', 'book chapter', 'structural health monitoring', 'royal aeronautical', 'associate editor', 'giurgiutiu span', 'aeronautical journal', 'dr giurgiutiu', 'giurgiutiu ha', 'multi physic applied mechanic topic dr giurgiutiu ha published several book book chapter many journal article conference paper fellow royal aeronautical society raes american society mechanical engineer asme associate editor aeronautical journal raes', 'many journal', 'paper fellow', 'conference paper', 'published several', 'society raes', 'chapter many', 'aeronautical society', 'ha published', 'raes american'}"
58,"Glenn Jr., Odell","{'investigated present', 'cfd modeling', 'produced indoor', 'way teach', 'essential oil cfd modeling elisa assay wa investigated present passion education along engineering education investigating new unique way teach undergraduate core fundamental key educator student', 'home effectiveness', 'trigger produced', 'education along', 'novel technology', 'wa investigated', 'passion education', 'reduce potency', 'effectiveness using', 'abatement allergenic', 'technology abatement', 'approach potentially', 'engineering education', 'protein involved', 'dry dust', 'particle home', 'key educator', 'fundamental aspect', 'allergen bound', 'indoor environment', 'bound dry', 'modeling elisa', 'education investigating', 'unique way', 'undergraduate core', 'core fundamental', 'new unique', 'present passion', 'fundamental key', 'elisa assay', 'investigating new', 'environment allergen', 'educator student', 'potency asthma', 'dust particle', 'involved development', 'essential oil', 'teach undergraduate', 'development approach', 'assay wa', 'potentially reduce', 'asthma trigger', 'fundamental aspect novel technology abatement allergenic protein involved development approach potentially reduce potency asthma trigger produced indoor environment allergen bound dry dust particle home effectiveness using dry ice', 'oil cfd', 'along engineering', 'using dry', 'aspect novel', 'allergenic protein', 'dry ice'}"
59,"Goharian, Erfan","{'system analysis', 'hydroinformatics', 'water resource', 'resource management', 'integrated water resource management', 'integrated water'}"
60,"Gower, R. Michael","{'biomaterials', 'immunoengineering'}"
61,"Gray, Joshua","{'experienced engineer diverse background ranging educational instruction mentoring role', 'role range', 'fluid solar', 'several start', 'school chemical', 'currently co', 'art experience', 'area recovery', 'energy application', 'alternative separation', 'nonprofit area', 'material compatibility', 'recovery substance', 'participated several', 'non profit', 'application worked', 'liberal art', 'engineering laboratory', 'mentoring role', 'professor working', 'component characterization', 'state supported', 'experience development', 'engineer diverse', 'serving mentor', 'primarily involves', 'application electrochemical', 'temperature heat', 'based non', 'ups area', 'instruction mentoring', 'use disorder', 'range experience', 'co founder', 'high temperature', 'nuclear fuel', 'assistant graduate', 'separation process', 'national laboratory', 'extensive experience development environment', 'community based', 'supported liberal', 'hydrogen storage', 'social work', 'member adjunct', 'storage fuel', 'laboratory manager', 'development alternative separation process used nuclear fuel', 'involves application', 'diverse background', 'area material', 'development environment', 'work educational', 'profit social', 'entrepreneurial start', 'start ups', 'fuel cell', 'ups community', 'storage technology', 'manager instructor', 'chemical engineering', 'department state', 'extensive experience', 'background ranging', 'entrepreneurial start ups community based non profit social work educational role range experience teaching assistant graduate school chemical engineering laboratory', 'compatibility corrosion', 'thesis committee', 'localized corrosion', 'area fuel', 'sustainable energy', 'electrochemical engineering', 'experience primarily', 'heat transfer', 'serving laboratory', 'founder nonprofit', 'substance use', 'development alternative', 'experience teaching', 'ranging educational', 'working national', 'laboratory system', 'engineering localized', 'hydrogen storage fuel cell application', 'currently co founder nonprofit area recovery substance use disorder', 'teaching assistant', 'characterization participated', 'committee member', 'cell hydrogen', 'battery component characterization participated several start ups area fuel cell hydrogen storage technology', 'adjunct professor', 'process used', 'battery component', 'graduate school', 'educational instruction', 'instructor chemistry', 'corrosion susceptibility', 'serving laboratory manager instructor chemistry department state supported liberal art experience primarily involves application electrochemical engineering localized corrosion sustainable energy application worked area material compatibility corrosion susceptibility high temperature heat transfer fluid solar energy', 'corrosion sustainable', 'susceptibility high', 'experienced engineer', 'transfer fluid', 'chemistry department', 'mentor thesis', 'serving mentor thesis committee member adjunct professor working national laboratory system', 'worked area', 'educational role', 'cell application', 'solar energy', 'used nuclear'}"
62,"Gross, Andrew J.","{'center mechanical', 'characterization architected', 'property material', 'material includes', 'characterization architected material', 'dr gross center mechanical property material includes design', 'well use', 'use full', 'constituent well', 'material model', 'architected material', 'fabrication', 'gross center', 'dr gross', 'especially nanoscale', 'mechanical property', 'data calibration', 'experimental data', 'calibration material', 'full field', 'nanoscale constituent', 'especially nanoscale constituent well use full field experimental data calibration material model', 'includes design', 'field experimental'}"
63,"Gumina, Sharon","{'version developer using various tool including sql developer oracle visual studio palo alto network authorized cybersecurity academy instructor', 'network authorized', 'developer oracle', 'year experience', 'instructor cyber', 'routing switching', 'visual studio', 'switching ccna', 'various tool', 'ccna ccna', 'center assembly', 'innovation center assembly street', 'educator information technology cisco academy instructor cyber security operation routing switching ccna ccna', 'using various', 'information technology', 'operation routing', 'palo alto', 'educator information', 'office columbia', 'innovation center', 'developer using', 'including sql', 'suite office columbia', 'sc year experience developer', 'analyst', 'sc year', 'oracle visual', 'cisco academy', 'cybersecurity academy', 'cyber security', 'experience developer', 'assembly street', 'version developer', 'alto network', 'technology cisco', 'studio palo', 'authorized cybersecurity', 'suite office', 'sql developer', 'security operation', 'academy instructor', 'tool including'}"
64,"Gürdal, Zafer ","{'multidisciplinary design', 'structural multidisciplinary', 'structural multidisciplinary design'}"
65,"Haj-Hariri, Hossein ","{'applied mathematics', 'fluid mechanic', 'thermal management'}"
66,"Harik, Ramy","{'engineering technology', 'manufacturing computer', 'chair ace', 'outstanding young', 'faculty member department mechanical engineering resident researcher mcnair center aerospace innovation currently visiting scientist nasa langley', 'application international', 'symposium aerospace', 'honor society', 'design cad', 'cam dr', 'department commerce', 'aerospace conference', 'award pi', 'doctor philosophy', 'fokker aerostructures', 'wa chair', 'education featuring', 'philosophy mainly', 'automated manufacturing engineering technology master science industrial mechanical engineering doctor philosophy mainly teach course computer aided design cad', 'editor computer', 'dassault aviation funded student several agency recipient outstanding young educator award pi tau sigma honor society dr harik chair ace', 'engineering master', 'harik associate', 'student several', 'textbook manufacturing', 'aided design', 'sigma honor', 'automated manufacturing', 'fiber placement', 'pi tau', 'dassault aviation', 'chair plm', 'ace ace', 'automated fiber', 'international journal', 'recipient outstanding', 'nasa langley', 'international conference', 'engineering doctor', 'aerospace innovation', 'computer aided', 'manufacturing topic', 'engineering resident', 'technology master', 'sc department commerce', 'several agency', 'design application', 'innovation currently', 'harik textbook', 'million usd', 'science industrial', 'placement education', 'faculty member', 'industrial mechanical', 'aviation funded', 'dr harik textbook manufacturing education featuring traditional emergent manufacturing topic', 'nasa', 'tau sigma', 'emergent manufacturing', 'mcnair center', 'manufacturing education', 'sc department', 'conducting automated', 'ha million', 'manufacturing computer aided manufacturing cam dr harik associate editor computer aided design application international journal ha million usd funding boeing', 'mechanical engineering', 'exhibition wa', 'ace ace technical symposium aerospace conference exhibition wa chair plm international conference held columbia', 'researcher mcnair', 'education join', 'teach course', 'scientist nasa', 'young educator', 'aided manufacturing', 'currently visiting', 'society dr', 'harik chair', 'funding boeing', 'resident researcher', 'dr harik', 'usd funding', 'manufacturing cam', 'traditional emergent', 'conducting automated fiber placement education join mechanical engineering master science', 'center aerospace', 'agency recipient', 'fulbright scholar', 'conference exhibition', 'member department', 'join mechanical', 'master science', 'conference held', 'featuring traditional', 'educator award', 'associate editor', 'manufacturing engineering', 'technical symposium', 'visiting scientist', 'held columbia', 'course computer', 'funded student', 'mainly teach', 'department mechanical', 'plm international', 'journal ha', 'ace technical'}"
67,"Henrich, Silke","{'biomedical catawba stroom', 'catawba stroom', 'biomedical catawba'}"
68,"Heyden, Andreas","{'biomass catalysis', 'multiscale modeling', 'computational catalysis', 'electrocatalysis', 'uncertainty quantification'}"
69,"Hikmet, Neset","{'health informatics', 'health information technology', 'health information', 'information technology', 'information system'}"
70,"Hoque, Shamia","{'sustainable technology', 'metamodel', 'transportation environment', 'healthy building'}"
71,"Hu, Jianjun","{'evolutionary computation', 'material informatics', 'machine learning', 'bioinformatics', 'deep learning'}"
72,"Hu, Ming","{'novel energy', 'modeling complex', 'particular low', 'simulation micro', 'transport novel', 'transfer advanced', 'dr hu modeling simulation micro nano scale thermal transport novel energy system', 'scale thermal', 'interfacial heat transfer advanced thermal management', 'material nanostructures', 'energy transport', 'modeling simulation', 'full list', 'interfacial heat', 'low dimensional', 'multiphysics modeling', 'dr hu', 'advanced thermal', 'heat transfer', 'nano scale', 'micro nano', 'complex energy', 'scale multiphysics', 'transport process', 'dimensional material', 'energy nanotechnology', 'multi scale', 'process full', 'multi scale multiphysics modeling complex energy transport process full list publication', 'thermal transport', 'particular low dimensional material nanostructures', 'energy system', 'hu modeling', 'list publication', 'thermal management'}"
73,"Huang, Chin-Tser","{'network security', 'distributed system', 'network protocol', 'protocol design', 'design verification', 'network protocol design verification'}"
74,"Huang, Kevin ","{'fuel cell', 'gas membrane', 'battery', 'modeling', 'electrochemistry'}"
75,"Huang, Xinyu ","{'durability', 'coating', 'fuel cell', 'composite'}"
76,"Huhns, Michael N.","{'serviceoriented computing', 'multiagent system', 'computer vision', 'distributed computing', 'ontology'}"
77,"Humphries, Wilfred Kenneth","{'engineering community', 'terracon consultant', 'award honor', 'flexible pavement', 'location city', 'retaining wall present', 'blasting structure', 'practice soil', 'lateral earth', 'professional practice', 'inc', 'employee location', 'humphries service', 'public service', 'rank fellow', 'received numerous', 'teaching', 'effect blasting', 'ha received', 'professional practice soil dynamic', 'wall present', 'engineer year', 'asce nspe', 'earth pressure', 'employee year', 'rank fellow asce nspe', 'lateral earth pressure', 'ha received numerous award honor including order palmetto highest honor', 'dr humphries', 'area', 'city recognition', 'deep shallow foundation', 'firm approximately', 'employee location city recognition dr humphries service engineering community', 'humphries serf', 'national engineering firm approximately', 'public service award', 'government employee year', 'honor including', 'service award', 'soil dynamic', 'service engineering', 'letalier cup', 'serf senior', 'recognition dr', 'highest honor', 'order palmetto', 'government employee', 'geotechnical consultant', 'among others', 'consultant terracon', 'including order', 'engineering firm', 'senior geotechnical', 'deep shallow', 'national engineering', 'numerous award', 'fellow asce', 'soil stabilization', 'effect blasting structure', 'shallow foundation', 'dr humphries serf senior geotechnical consultant terracon consultant', 'retaining wall', 'palmetto highest'}"
78,"Huray, Paul G.","{'sc', 'main streetcolumbia', 'swearingenroom main streetcolumbia', 'swearingenroom main'}"
79,"Huynh, Nathan","{'freight', 'drayage', 'port operation', 'logistics', 'health care'}"
80,"Imran, Jasim","{'numerical experimental', 'mass gravity', 'unsteady free surface flow', 'free surface', 'numerical experimental modeling', 'mass gravity flow', 'unsteady free', 'gravity flow', 'turbidity current', 'experimental modeling', 'sediment transport', 'surface flow'}"
81,"Jabbari, Esmaiel","{'biomaterials', 'protein delivery', 'tissue engineering'}"
82,"Jabbarzadeh, Ehsan","{'modulation inflammatory response implanted biomaterials using natural compound', 'differentiation investigation', 'press', 'actively pursuing', 'parallel effort', 'recapitulate key', 'response work', 'remodeling development', 'commitment addition', 'type mechanical', 'natural compound', 'output associated', 'model intercellular', 'property investigation', 'cell differentiation', 'investigation lab', 'mathematical model', 'investigation molecular', 'effect stem', 'work complemented', 'tissue understanding', 'biochemical property', 'overarching theme', 'biochemical morphological', 'distinctive type', 'differentiation tissue', 'event linked', 'bone vascular', 'development biomaterials', 'natural extracellular', 'current pharmaceutical', 'integrate generate', 'construct single', 'biomaterials using', 'based mathematical', 'microenvironments based', 'room main street columbia', 'main street', 'generate appropriate', 'associated fate', 'cell sense', 'design engineering', 'sc overarching', 'proliferation differentiation', 'extracellular matrix', 'carbon nanotube', 'biomaterials recapitulate', 'current pharmaceutical design', 'laboratory actively', 'matrix application', 'vascular tissue', 'proliferation differentiation investigation lab revolve around cell sense distinctive type mechanical', 'pursuing development', 'engineering yanez', 'finely controllable', 'around cell', 'robust design', 'modulation inflammatory', 'molecular mechanism', 'biochemical morphological cue integrate generate appropriate response work complemented parallel effort construct single cell based mathematical model intercellular signaling event linked signaling output associated fate commitment addition', 'complemented parallel', 'pharmaceutical design', 'room main', 'development engineering', 'associated cell', 'inflammatory response', 'jabbarzadeh', 'cell based', 'engineering tissue', 'effort construct', 'cue integrate', 'based carbon', 'theme robust', 'biophysical biochemical', 'blanchette', 'tissue remodeling', 'response implanted', 'mechanism associated', 'engineering microenvironments', 'implanted biomaterials', 'laboratory actively pursuing development biomaterials recapitulate key characteristic natural extracellular matrix application bone vascular tissue engineering yanez', 'single cell', 'key characteristic', 'characteristic natural', 'stem cell', 'environmental effect', 'linked signaling', 'cell migration', 'street columbia', 'revolve around', 'sc overarching theme robust design engineering tissue understanding modeling environmental effect stem cell differentiation tissue remodeling development engineering microenvironments based carbon nanotube array finely controllable biophysical biochemical property investigation molecular mechanism associated cell migration', 'signaling event', 'appropriate response', 'array finely', 'sense distinctive', 'nanotube array', 'signaling output', 'application bone', 'using natural', 'tissue engineering', 'morphological cue', 'intercellular signaling', 'modeling environmental', 'understanding modeling', 'lab revolve', 'fate commitment', 'controllable biophysical'}"
83,"Jalilvand, Golareh","{'collaboration department', 'working microstructure', 'oxide fuel', 'via unique', 'unique electroplating', 'solder joint', 'ph material', 'packaging micro', 'computer science', 'microelectronics ha', 'microstructure property', 'nano electronics', 'science engineering', 'heterogeneous integration packaging micro nano electronics dr jalilvand contribution field thin film integrated microelectronics ha recognized several national international platform prior microelectronics', 'professor chemical', 'based integration', 'green paradigm', 'heterogeneous integration', 'sc ph material science engineering prior joining uofsc faculty course ph', 'lab central', 'assistant professor', 'film solid', 'dr golareh jalilvand assistant professor chemical engineering department uofsc received sc', 'central florida', 'assisted machine', 'golareh jalilvand', 'fabrication reliability', 'currently working microstructure optimization via unique electroplating technique enhance reliability ic interconnects', 'national international', 'focused thin', 'assistant microelectronics', 'contribution field', 'via tsv', 'solid oxide', 'platform prior', 'joining uofsc', 'sc ph', 'jalilvand assistant', 'reliability ic', 'material science', 'developed collaboration', 'worked silicon', 'dr jalilvand', 'jalilvand microstructure', 'method developed', 'technique enhance', 'ic assisted', 'material interconnection', 'optimization via', 'enhance reliability', 'fuel cell', 'energy conversion', 'chemical engineering', 'novel material', 'ha recognized', 'microstructure optimization', 'mechanical reliability', 'department uofsc', 'prior microelectronics', 'ic interconnects', 'thermo mechanical', 'cell energy', 'focused thin film solid oxide fuel cell energy conversion green paradigm', 'dr golareh', 'received sc', 'integrated circuit', 'uofsc received', 'tgv based', 'wa graduate', 'integrated microelectronics', 'studied new interconnect material dr jalilvand microstructure property relationship interconnects integrated circuit ic assisted machine learning method developed collaboration department computer science engineering uofsc', 'new interconnect', 'course ph', 'department computer', 'machine learning', 'micro nano', 'film integrated', 'interconnect material', 'studied new', 'faculty course', 'worked silicon glass via tsv tgv based integration', 'engineering prior', 'tsv tgv', 'electronics dr', 'learning method', 'conversion green', 'currently working', 'interconnects integrated', 'integration packaging', 'wa graduate assistant microelectronics fabrication reliability lab central florida', 'novel material interconnection', 'prior joining', 'microelectronics fabrication', 'reliability solder', 'international platform', 'thin film', 'circuit ic', 'engineering department', 'property relationship', 'electroplating technique', 'glass via', 'relationship interconnects', 'silicon glass', 'field thin', 'reliability lab', 'engineering uofsc', 'recognized several', 'uofsc faculty', 'graduate assistant', 'material dr', 'thermo mechanical reliability solder joint', 'jalilvand contribution', 'several national'}"
84,"Jamshidi, Pooyan ","{'autonomic computing', 'adversarial machine learning', 'adversarial machine', 'computer system', 'learning system', 'machine learning system', 'artificial intelligence', 'machine learning'}"
85,"Kanapala, Neema ","{'neema kanapala teach various undergraduate course', 'kanapala teach', 'undergraduate course', 'various undergraduate', 'neema kanapala', 'teach various'}"
86,"Karakalos, Stavros G.","{'situ catalytic', 'change reaction', 'use efficient', 'ultra violet', 'lower activation', 'ray induced', 'sims situ', 'rate reaction', 'mass spectroscopy', 'layer solid', 'interaction catalyst', 'important order', 'composition electronic', 'composition electronic property outermost atomic layer solid material', 'process fundamental', 'main goal', 'ray synchrotron', 'technique ultra', 'desorption tpd', 'information derived', 'fundamental importance', 'achieved creating', 'radiation photoelectron', 'temperature programmed desorption tpd', 'goal catalyst', 'solid material', 'surface undergo', 'model system', 'atomic layer', 'srpes', 'nap xps', 'group main', 'auger electron', 'reaction mechanism', 'derived study', 'reactant interaction', 'undergo structural', 'mechanism various', 'importance group', 'ultra violet photoelectron spectroscopy ups', 'spectroscopy ups', 'increase rate', 'use ray', 'high vacuum', 'spectroscopy sims', 'catalyst surface', 'necessity group', 'electron spectroscopy', 'outermost atomic', 'new energetic', 'draw safe', 'catalytic treatment', 'important information', 'study model system important order draw safe conclusion important information derived study model catalyst surface undergo structural electronic change reaction use efficient technique ultra high vacuum situ study catalyst necessity group use ray synchrotron radiation photoelectron spectroscopy xps', 'efficient technique', 'temperature programmed', 'determine structure', 'order draw', 'creating new', 'photoelectron spectroscopy', 'induced auger', 'catalyst reactant', 'interaction lead', 'spectroscopy xps', 'intermediate lower', 'understanding reaction', 'synchrotron radiation', 'electronic property', 'secondary ion mass spectroscopy sims situ catalytic treatment', 'ultra high', 'study catalyst', 'programmed desorption', 'energy end', 'various heterogeneous', 'understanding reaction mechanism various heterogeneous catalytic process fundamental importance group main goal catalyst increase rate reaction achieved creating new energetic pathway reaction', 'vacuum situ', 'model catalyst', 'structural electronic', 'catalyst increase', 'reaction use', 'situ study', 'spectroscopy xaes', 'activation energy', 'system important', 'catalytic process', 'energetic pathway', 'electronic change', 'catalyst necessity', 'ion mass', 'property outermost', 'pathway reaction', 'lead new', 'study model', 'safe conclusion', 'violet photoelectron', 'secondary ion', 'interaction catalyst reactant interaction lead new intermediate lower activation energy end', 'reaction achieved', 'new intermediate', 'ray induced auger electron spectroscopy xaes', 'conclusion important', 'group use', 'heterogeneous catalytic', 'tprs'}"
87,"Karakchi, Rasha","{'data analytics', 'specialpurpose processor', 'fpga overlay', 'heterogeneous computing'}"
88,"Khan, Asif","{'sc', 'main streetcolumbia', 'swearingenroom main streetcolumbia', 'swearingenroom main'}"
89,"Khan, Jamil   A.","{'micro channel', 'computational experimental', 'experimental fluid', 'change solidification', 'related contaminant', 'melting casting', 'thermodynamic analysis', 'khan modeling', 'dr khan modeling manufacturing process', 'flow phase', 'channel heat', 'fluid dynamic', 'thermodynamic analysis ic engine', 'transport room', 'fluid flow', 'welding', 'distribution machining', 'heat transfer', 'cfd analysis combustion process etc', 'computational experimental fluid dynamic related contaminant transport room', 'porous medium', 'dynamic related', 'solidification melting', 'temperature distribution machining', 'manufacturing process', 'analysis ic', 'ic engine', 'process etc', 'transfer fluid', 'contaminant transport', 'modeling manufacturing', 'temperature distribution', 'dr khan', 'phase change', 'micro channel heat transfer', 'transfer porous', 'analysis combustion', 'cfd analysis', 'heat transfer fluid flow phase change solidification melting casting', 'combustion process', 'heat transfer porous medium'}"
90,"Kidane, Addis ","{'dynamic behavior', 'image correlation', 'digital image', 'multifunctional material', 'behavior material', 'digital image correlation', 'dynamic behavior material'}"
91,"Knight, Travis W.","{'nuclear fuel', 'space nuclear', 'dr knight area advanced nuclear fuel material', 'including hydrogen', 'knight area', 'advanced nuclear', 'nuclear safeguard', 'alternative us', 'power propulsion', 'power including', 'nuclear power', 'space nuclear power propulsion', 'us nuclear', 'alternative us nuclear power including hydrogen', 'area advanced', 'fuel material', 'nuclear fuel cycle', 'fuel cycle', 'dr knight'}"
92,"Koppel, Tarmo","{'topic ai', 'thing iot', 'internet thing iot', 'health safety', 'tarmo koppel', 'remote sensing', 'threat assessment', 'smart manufacturing', 'sensor network', 'business virtual', 'productivity enhancement', 'safety monitoring', 'smart workplace', 'tarmo koppel topic ai application business virtual assistant chatbots', 'threat assessment risk management', 'assistant chatbots', 'internet thing', 'assessment risk', 'industry', 'ai application', 'application business', 'koppel topic', 'virtual assistant', 'health safety monitoring', 'decision support', 'risk management'}"
93,"Lauterbach, Jochen","{'highthroughput screening', 'heterogeneous catalysis', 'ammonia decomposition', 'machine learning', 'decomposition synthesis', 'conversion', 'ammonia decomposition synthesis'}"
94,"Lee, Dongkyu","{'energy application', 'oxide electrocatalysis', 'nanostructured oxide'}"
95,"Lessner , Susan M.","{'blood vessel', 'emphasis mechanical failure plaque rupture intraplaque angiogenesis atherosclerotic plaque rupture leading cause acute cardiovascular event heart attack stroke evidence suggests plaque rupture result adverse interaction biomechanical biological factor focus understanding interplay type factor', 'focus understanding', 'stroke evidence', 'interplay type', 'rupture result', 'cause acute', 'rupture intraplaque', 'risk acute', 'understand artery', 'sensitive gene', 'failure plaque', 'examine relationship', 'sc lessner', 'work focus', 'musc', 'medicine bldg', 'identify patient', 'interaction biomechanical', 'loading environment', 'expression biomechanics', 'particularly interested', 'new blood', 'rupture arterial', 'mouse model', 'order develop method reduce incidence plaque rupture biological side', 'event heart', 'biomechanics atherosclerosis', 'leading cause', 'specimen examine', 'failure play', 'experimental computational', 'focus vascular', 'reduce incidence', 'collaborate faculty', 'progression use', 'transgenic mouse', 'mechanical loading', 'particularly interested intraplaque angiogenesis', 'failure mechanism', 'artery wall', 'aim develop method identify patient elevated risk acute cardiovascular syndrome material failure play major role use experimental computational approach understand artery wall failure mechanism collaborate faculty mechanical engineering uofsc', 'room garner', 'mechano sensitive', 'faculty mechanical', 'attack stroke', 'understanding interplay', 'evidence suggests', 'vascular biology', 'surgeon greenville', 'angiogenesis atherosclerotic', 'garner ferry', 'model human', 'major role', 'material failure', 'mechanism collaborate', 'destabilizing factor', 'relationship mechanical', 'palmetto health', 'biomechanics front', 'type factor', 'incidence plaque', 'rupture biological', 'gene expression', 'cardiovascular event', 'human endarterectomy', 'endarterectomy specimen', 'order develop', 'computational approach', 'develop method', 'destabilizing factor plaque progression use transgenic mouse model human endarterectomy specimen examine relationship mechanical loading environment', 'matrix organization', 'new blood vessel growth', 'arterial dissection', 'emphasis mechanical', 'study micromechanics', 'intraplaque angiogenesis', 'patient elevated', 'adverse interaction', 'sc lessner work focus vascular biology biomechanics atherosclerosis', 'mechano sensitive gene expression biomechanics front', 'road columbia', 'lessner work', 'mechanical engineering', 'greenville hospital', 'together vascular', 'result adverse', 'mechanical failure', 'school medicine bldg room garner ferry road columbia', 'biological factor', 'use transgenic', 'tissue failure', 'factor plaque', 'syndrome material', 'use experimental', 'aim develop', 'vascular surgeon', 'ferry road', 'plaque rupture', 'biomechanical biological', 'interested intraplaque', 'biology biomechanics', 'play major', 'micromechanics arterial', 'biological side', 'cardiovascular syndrome', 'vessel growth', 'plaque progression', 'role use', 'acute cardiovascular', 'factor focus', 'together vascular surgeon greenville hospital', 'school medicine', 'bldg room', 'approach understand', 'method identify', 'wall failure', 'heart attack', 'atherosclerotic plaque', 'engineering uofsc', 'study micromechanics arterial tissue failure plaque rupture arterial dissection', 'arterial tissue', 'method reduce', 'rupture leading', 'elevated risk', 'suggests plaque'}"
96,"Lewis, Jeremy ","{'jeremy lewis teach various undergraduate course', 'undergraduate course', 'various undergraduate', 'jeremy lewis', 'lewis teach', 'teach various'}"
97,"Li, Chen ","{'controlling two', 'two phase', 'behavior application', 'heat flow', 'transport behavior', 'theory two', 'scale two', 'dr li', 'modeling aim', 'flow physic', 'micro nano', 'nano scale', 'dr li micro nano scale two phase heat flow physic', 'flow micro', 'application theory', 'prediction', 'developing verifying', 'aim basic', 'verifying theory', 'theory towards', 'towards controlling', 'basic developing', 'control modeling aim basic developing verifying theory two phase transport behavior application theory towards controlling two phase heat flow micro nano scale', 'li micro', 'phase transport', 'control modeling', 'phase heat'}"
