Researcher Name,Processed Skills
"Fan, Daping",abundance cytokine; abundance cytokine chemokines toll like receptor tlr ligand; advanced tumor; aggressiveness tumor; associated macrophage; atherogenesis goal; atherogenesis macrophage; atherosclerosis lipid; atherosclerotic plaque; attack stroke; bldg room; cancer progression; cancer treatment; cause heart; cell component; cell determines; cell favor; cell formation; cell major; cell mdscs; cell tme; chemokines toll; cholesterol homeostasis; cholesterol sink; chronic inflammatory; complex signaling; complex signaling network tune dynamic function myeloid cell favor cancer progression focused understanding signal network developing strategy manipulate improve cancer treatment; component tumor; condition macrophage; controlling macrophage; country atherosclerosis; cycle promote; cytokine chemokines; dendritic cell; deposit disease; derived suppressor; determines aggressiveness; develop strategy; developed country; developing strategy; direct cause; disease chronic; disrupt vicious; dominant inflammation; due unique; due unique feature tme including hypoxia; dynamic function; favor cancer; feature tme; ferry road; foam cell; focused understanding; form vicious; formation inflammatory; function myeloid; garner ferry; goal laboratory; heart attack; homeostasis controlling; improve cancer; including hypoxia; inflammation machine; inflammation myeloid; inflammatory condition; inflammatory response; interaction malignant; killer united; killer united state many developed country atherosclerosis lipid deposit disease chronic inflammatory condition macrophage primary cholesterol sink well dominant inflammation machine atherogenesis macrophage foam cell formation inflammatory response form vicious cycle promote atherogenesis goal laboratory develop strategy disrupt vicious cycle promote regression atherosclerotic plaque restoring macrophage cholesterol homeostasis controlling macrophage inflammation myeloid cell major cell component tumor microenvironment tme; laboratory develop; like receptor; lipid deposit; machine atherogenesis; macrophage cholesterol; macrophage foam; macrophage inflammation; macrophage primary; macrophage tam; mainly myeloid; major cell; malignant cell; manipulate improve; many developed; medicine bldg; metabolic profile; microenvironment tme; myeloid cell; myeloid derived; network developing; network tune; plaque restoring; plaque resulting; primary cholesterol; progression focused; promote atherogenesis; promote regression; receptor tlr; regression atherosclerotic; response form; restoring macrophage; resulting thrombosis; road columbia; room garner; rupture vulnerable; sc rupture; sc rupture vulnerable atherosclerotic plaque resulting thrombosis direct cause heart attack stroke; school medicine; school medicine bldg room garner ferry road columbia; signal network; signaling network; sink well; state many; strategy disrupt; strategy manipulate; suppressor cell; tam advanced; thrombosis direct; tlr ligand; tme including; tme mainly; toll like; tumor associated; tumor associated macrophage tam advanced tumor; tumor microenvironment; tumor myeloid; tune dynamic; understanding signal; unique feature; united state; unusual metabolic; unusual metabolic profile; vicious cycle; vulnerable atherosclerotic; well dominant; whose interaction; whose interaction malignant cell determines aggressiveness tumor myeloid cell tme mainly myeloid derived suppressor cell mdscs
"Farkas, Csilla ",information security
"Farouk, Tanvir   I.",combustion; energy; multiphysics modeling; plasma; thermalfluid science
"Fenner, Stephen A. ",computability computational; computational complexity; computing computability; computing information; core theoretical; especially quantum; especially quantum computing information; fenner core; foundation computing; professor fenner; professor fenner core theoretical foundation computing computability computational complexity; quantum computing; theoretical foundation
"Fiedler, Kirk",business; computer science
"Flora, Joseph",computer modeling; computer modeling water quality engineering process; dr flora; dr flora main molecular modeling environmental reaction; engineering process; environmental reaction; flora main; main molecular; modeling environmental; modeling water; molecular modeling; process water; process water quality engineering; quality engineering; water quality
"Gadala-Maria, Francis",centerroom main; engineering centerroom; engineering centerroom main streetcolumbia; main streetcolumbia; sc; stanford
"Gassman, Sarah",civil; engineering; geotechnical
"Gatzke, Edward P.",acquired instrumentation; application area; application require; approximation parallel; area particulate; area process; bio process; branch reduce; characteristic variety; chemical process; constrained mixed; control; controller formulation; develop process; developed reduce; diagnostic method; directly acquired; discrete value; dynamic nonlinear; easily directly; efficient operation; effort mixed; effort parallel; estimation diagnostic; formulation developed; formulation involving; fundamental understanding; gatzke area; horizon formulation; improve productivity; including parallel; including parallel nonconvex nonseparable mixed integer outer approximation parallel nonconvex branch reduce method application area particulate processing; information easily; instrumentation recently; integer optimization; integer outer; involving unknown; large scale; large scale system; main street; method application; method used; mixed integer; moving horizon; new moving; new moving horizon formulation involving unknown value taking discrete value proposed application require online solution constrained mixed integer optimization problem ongoing effort parallel programming effort mixed integer optimization; nonconvex branch; nonconvex nonseparable; nonlinear characteristic; nonseparable mixed; ongoing effort; online solution; operation chemical; optimization efficient; optimization efficient operation chemical process requires fundamental understanding dynamic nonlinear characteristic variety controller formulation developed reduce product variability improve productivity estimation diagnostic method used develop process information easily directly acquired instrumentation recently; optimization problem; outer approximation; parallel nonconvex; parallel programming; particulate processing; problem ongoing; process information; process modeling; process requires; product variability; productivity estimation; programming effort; proposed application; reduce method; reduce product; require online; requires fundamental; room main; room main street columbia; sc gatzke; sc gatzke area process modeling; scale system; solution constrained; street columbia; taking discrete; understanding dynamic; unknown value; used develop; value proposed; value taking; variability improve; variety controller
"Gerdes, Jr., John H.",appeared communication; article appeared; assembly street; associate editor; associate professor; authored two; b eng; bethlehem; c teach; c teach software development; california riverside; certificate support; china article; china article appeared communication acm; coke temperature; columbia; commerce telecommunication; communication acm; computer science; computer science vanderbilt; cornell; currently associate; database management; database management dr gerdes hold b eng mechanical engineering cornell; dealign measurement; decision support; decision support system; department integrated; development new; dr gerdes; dr john; dr john gerdes associate professor department integrated information; editor electronic; electronic commerce; eng mechanical; engineering cornell; gerdes associate; gerdes hold; ha authored; ha taught; hold b; information system; innovation assembly; innovation assembly street; integrated information; ithaca; jia tong; john gerdes; journal ha; journal ha authored two patent; key certificate; lehigh; management dr; measurement coke; mechanical engineering; nashville; new public; ohio state; one dealign; one dealign measurement coke temperature; one development; one development new public key certificate support user privacy currently associate editor electronic commerce telecommunication system; pa eng; ph information; ph information system vanderbilt ha taught ohio state; privacy currently; professor department; public key; sc; science vanderbilt; shanghai; site development; software development; suite; support system; support user; system vanderbilt; taught ohio; teach software; telecommunication system; tenn; tenn b; transaction iie; two patent; user privacy; vanderbilt; vanderbilt ha; web site; web site development
"Gholizadeh, Sona",engineering education; higher education; system analysis
"Gibbons, Joseph H.",ph; pittsburgh
"Ginn, Herbert L.",carolinamississippi state; main street; sc carolinamississippi; sc carolinamississippi state; street columbia; swearingenroom main; swearingenroom main street columbia
"Giurgiutiu (Jurjutzu), Victor",active material; aeronautical journal; aeronautical society; american society; applied mechanic; article conference; asme associate; associate editor; book book; book chapter; chapter many; conference paper; dr giurgiutiu; dr giurgiutiu span active material; editor aeronautical; engineer asme; fellow royal; giurgiutiu ha; giurgiutiu span; ha published; health monitoring; journal article; journal raes; many journal; mechanic topic; mechanical engineer; mechatronics; multi physic; multi physic applied mechanic topic dr giurgiutiu ha published several book book chapter many journal article conference paper fellow royal aeronautical society raes american society mechanical engineer asme associate editor aeronautical journal raes; paper fellow; physic applied; published several; raes american; royal aeronautical; several book; smart structure; society mechanical; society raes; span active; structural health; structural health monitoring; topic dr
"Glenn Jr., Odell",abatement allergenic; allergen bound; allergenic protein; along engineering; approach potentially; aspect novel; assay wa; asthma trigger; bound dry; cfd modeling; core fundamental; development approach; dry dust; dry ice; dust particle; education along; education investigating; educator student; effectiveness using; elisa assay; engineering education; environment allergen; essential oil; essential oil cfd modeling elisa assay wa investigated present passion education along engineering education investigating new unique way teach undergraduate core fundamental key educator student; fundamental aspect; fundamental aspect novel technology abatement allergenic protein involved development approach potentially reduce potency asthma trigger produced indoor environment allergen bound dry dust particle home effectiveness using dry ice; fundamental key; home effectiveness; indoor environment; investigated present; investigating new; involved development; key educator; modeling elisa; new unique; novel technology; oil cfd; particle home; passion education; potency asthma; potentially reduce; present passion; produced indoor; protein involved; reduce potency; teach undergraduate; technology abatement; trigger produced; undergraduate core; unique way; using dry; wa investigated; way teach
"Goharian, Erfan",hydroinformatics; integrated water; integrated water resource management; resource management; system analysis; water resource
"Gower, R. Michael",biomaterials; immunoengineering
"Gray, Joshua",adjunct professor; alternative separation; application electrochemical; application worked; area fuel; area material; area recovery; art experience; assistant graduate; background ranging; based non; battery component; battery component characterization participated several start ups area fuel cell hydrogen storage technology; cell application; cell hydrogen; characterization participated; chemical engineering; chemistry department; co founder; committee member; community based; compatibility corrosion; component characterization; corrosion susceptibility; corrosion sustainable; currently co; currently co founder nonprofit area recovery substance use disorder; department state; development alternative; development alternative separation process used nuclear fuel; development environment; diverse background; educational instruction; educational role; electrochemical engineering; energy application; engineer diverse; engineering laboratory; engineering localized; entrepreneurial start; entrepreneurial start ups community based non profit social work educational role range experience teaching assistant graduate school chemical engineering laboratory; experience development; experience primarily; experience teaching; experienced engineer; experienced engineer diverse background ranging educational instruction mentoring role; extensive experience; extensive experience development environment; fluid solar; founder nonprofit; fuel cell; graduate school; heat transfer; high temperature; hydrogen storage; hydrogen storage fuel cell application; instruction mentoring; instructor chemistry; involves application; laboratory manager; laboratory system; liberal art; localized corrosion; manager instructor; material compatibility; member adjunct; mentor thesis; mentoring role; national laboratory; non profit; nonprofit area; nuclear fuel; participated several; primarily involves; process used; professor working; profit social; range experience; ranging educational; recovery substance; role range; school chemical; separation process; serving laboratory; serving laboratory manager instructor chemistry department state supported liberal art experience primarily involves application electrochemical engineering localized corrosion sustainable energy application worked area material compatibility corrosion susceptibility high temperature heat transfer fluid solar energy; serving mentor; serving mentor thesis committee member adjunct professor working national laboratory system; several start; social work; solar energy; start ups; state supported; storage fuel; storage technology; substance use; supported liberal; susceptibility high; sustainable energy; teaching assistant; temperature heat; thesis committee; transfer fluid; ups area; ups community; use disorder; used nuclear; work educational; worked area; working national
"Gross, Andrew J.",architected material; calibration material; center mechanical; characterization architected; characterization architected material; constituent well; data calibration; dr gross; dr gross center mechanical property material includes design; especially nanoscale; especially nanoscale constituent well use full field experimental data calibration material model; experimental data; fabrication; field experimental; full field; gross center; includes design; material includes; material model; mechanical property; nanoscale constituent; property material; use full; well use
"Gumina, Sharon",academy instructor; alto network; analyst; assembly street; authorized cybersecurity; ccna ccna; center assembly; cisco academy; cyber security; cybersecurity academy; developer oracle; developer using; educator information; educator information technology cisco academy instructor cyber security operation routing switching ccna ccna; experience developer; including sql; information technology; innovation center; innovation center assembly street; instructor cyber; network authorized; office columbia; operation routing; oracle visual; palo alto; routing switching; sc year; sc year experience developer; security operation; sql developer; studio palo; suite office; suite office columbia; switching ccna; technology cisco; tool including; using various; various tool; version developer; version developer using various tool including sql developer oracle visual studio palo alto network authorized cybersecurity academy instructor; visual studio; year experience
"Gürdal, Zafer ",multidisciplinary design; structural multidisciplinary; structural multidisciplinary design
"Haj-Hariri, Hossein ",applied mathematics; fluid mechanic; thermal management
"Harik, Ramy",ace ace; ace ace technical symposium aerospace conference exhibition wa chair plm international conference held columbia; ace technical; aerospace conference; aerospace innovation; agency recipient; aided design; aided manufacturing; application international; associate editor; automated fiber; automated manufacturing; automated manufacturing engineering technology master science industrial mechanical engineering doctor philosophy mainly teach course computer aided design cad; aviation funded; award pi; cam dr; center aerospace; chair ace; chair plm; computer aided; conducting automated; conducting automated fiber placement education join mechanical engineering master science; conference exhibition; conference held; course computer; currently visiting; dassault aviation; dassault aviation funded student several agency recipient outstanding young educator award pi tau sigma honor society dr harik chair ace; department commerce; department mechanical; design application; design cad; doctor philosophy; dr harik; dr harik textbook manufacturing education featuring traditional emergent manufacturing topic; editor computer; education featuring; education join; educator award; emergent manufacturing; engineering doctor; engineering master; engineering resident; engineering technology; exhibition wa; faculty member; faculty member department mechanical engineering resident researcher mcnair center aerospace innovation currently visiting scientist nasa langley; featuring traditional; fiber placement; fokker aerostructures; fulbright scholar; funded student; funding boeing; ha million; harik associate; harik chair; harik textbook; held columbia; honor society; industrial mechanical; innovation currently; international conference; international journal; join mechanical; journal ha; mainly teach; manufacturing cam; manufacturing computer; manufacturing computer aided manufacturing cam dr harik associate editor computer aided design application international journal ha million usd funding boeing; manufacturing education; manufacturing engineering; manufacturing topic; master science; mcnair center; mechanical engineering; member department; million usd; nasa; nasa langley; outstanding young; philosophy mainly; pi tau; placement education; plm international; recipient outstanding; researcher mcnair; resident researcher; sc department; sc department commerce; science industrial; scientist nasa; several agency; sigma honor; society dr; student several; symposium aerospace; tau sigma; teach course; technical symposium; technology master; textbook manufacturing; traditional emergent; usd funding; visiting scientist; wa chair; young educator
"Henrich, Silke",biomedical catawba; biomedical catawba stroom; catawba stroom
"Heyden, Andreas",biomass catalysis; computational catalysis; electrocatalysis; multiscale modeling; uncertainty quantification
"Hikmet, Neset",health informatics; health information; health information technology; information system; information technology
"Hoque, Shamia",healthy building; metamodel; sustainable technology; transportation environment
"Hu, Jianjun",bioinformatics; deep learning; evolutionary computation; machine learning; material informatics
"Hu, Ming",advanced thermal; complex energy; dimensional material; dr hu; dr hu modeling simulation micro nano scale thermal transport novel energy system; energy nanotechnology; energy system; energy transport; full list; heat transfer; hu modeling; interfacial heat; interfacial heat transfer advanced thermal management; list publication; low dimensional; material nanostructures; micro nano; modeling complex; modeling simulation; multi scale; multi scale multiphysics modeling complex energy transport process full list publication; multiphysics modeling; nano scale; novel energy; particular low; particular low dimensional material nanostructures; process full; scale multiphysics; scale thermal; simulation micro; thermal management; thermal transport; transfer advanced; transport novel; transport process
"Huang, Chin-Tser",design verification; distributed system; network protocol; network protocol design verification; network security; protocol design
"Huang, Kevin ",battery; electrochemistry; fuel cell; gas membrane; modeling
"Huang, Xinyu ",coating; composite; durability; fuel cell
"Huhns, Michael N.",computer vision; distributed computing; multiagent system; ontology; serviceoriented computing
"Humphries, Wilfred Kenneth",among others; area; asce nspe; award honor; blasting structure; city recognition; consultant terracon; deep shallow; deep shallow foundation; dr humphries; dr humphries serf senior geotechnical consultant terracon consultant; earth pressure; effect blasting; effect blasting structure; employee location; employee location city recognition dr humphries service engineering community; employee year; engineer year; engineering community; engineering firm; fellow asce; firm approximately; flexible pavement; geotechnical consultant; government employee; government employee year; ha received; ha received numerous award honor including order palmetto highest honor; highest honor; honor including; humphries serf; humphries service; inc; including order; lateral earth; lateral earth pressure; letalier cup; location city; national engineering; national engineering firm approximately; numerous award; order palmetto; palmetto highest; practice soil; professional practice; professional practice soil dynamic; public service; public service award; rank fellow; rank fellow asce nspe; received numerous; recognition dr; retaining wall; retaining wall present; senior geotechnical; serf senior; service award; service engineering; shallow foundation; soil dynamic; soil stabilization; teaching; terracon consultant; wall present
"Huray, Paul G.",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Huynh, Nathan",drayage; freight; health care; logistics; port operation
"Imran, Jasim",experimental modeling; free surface; gravity flow; mass gravity; mass gravity flow; numerical experimental; numerical experimental modeling; sediment transport; surface flow; turbidity current; unsteady free; unsteady free surface flow
"Jabbari, Esmaiel",biomaterials; protein delivery; tissue engineering
"Jabbarzadeh, Ehsan",actively pursuing; application bone; appropriate response; around cell; array finely; associated cell; associated fate; based carbon; based mathematical; biochemical morphological; biochemical morphological cue integrate generate appropriate response work complemented parallel effort construct single cell based mathematical model intercellular signaling event linked signaling output associated fate commitment addition; biochemical property; biomaterials recapitulate; biomaterials using; biophysical biochemical; blanchette; bone vascular; carbon nanotube; cell based; cell differentiation; cell migration; cell sense; characteristic natural; commitment addition; complemented parallel; construct single; controllable biophysical; cue integrate; current pharmaceutical; current pharmaceutical design; design engineering; development biomaterials; development engineering; differentiation investigation; differentiation tissue; distinctive type; effect stem; effort construct; engineering microenvironments; engineering tissue; engineering yanez; environmental effect; event linked; extracellular matrix; fate commitment; finely controllable; generate appropriate; implanted biomaterials; inflammatory response; integrate generate; intercellular signaling; investigation lab; investigation molecular; jabbarzadeh; key characteristic; lab revolve; laboratory actively; laboratory actively pursuing development biomaterials recapitulate key characteristic natural extracellular matrix application bone vascular tissue engineering yanez; linked signaling; main street; mathematical model; matrix application; mechanism associated; microenvironments based; model intercellular; modeling environmental; modulation inflammatory; modulation inflammatory response implanted biomaterials using natural compound; molecular mechanism; morphological cue; nanotube array; natural compound; natural extracellular; output associated; overarching theme; parallel effort; pharmaceutical design; press; proliferation differentiation; proliferation differentiation investigation lab revolve around cell sense distinctive type mechanical; property investigation; pursuing development; recapitulate key; remodeling development; response implanted; response work; revolve around; robust design; room main; room main street columbia; sc overarching; sc overarching theme robust design engineering tissue understanding modeling environmental effect stem cell differentiation tissue remodeling development engineering microenvironments based carbon nanotube array finely controllable biophysical biochemical property investigation molecular mechanism associated cell migration; sense distinctive; signaling event; signaling output; single cell; stem cell; street columbia; theme robust; tissue engineering; tissue remodeling; tissue understanding; type mechanical; understanding modeling; using natural; vascular tissue; work complemented
"Jalilvand, Golareh",assistant microelectronics; assistant professor; assisted machine; based integration; cell energy; central florida; chemical engineering; circuit ic; collaboration department; computer science; contribution field; conversion green; course ph; currently working; currently working microstructure optimization via unique electroplating technique enhance reliability ic interconnects; department computer; department uofsc; developed collaboration; dr golareh; dr golareh jalilvand assistant professor chemical engineering department uofsc received sc; dr jalilvand; electronics dr; electroplating technique; energy conversion; engineering department; engineering prior; engineering uofsc; enhance reliability; fabrication reliability; faculty course; field thin; film integrated; film solid; focused thin; focused thin film solid oxide fuel cell energy conversion green paradigm; fuel cell; glass via; golareh jalilvand; graduate assistant; green paradigm; ha recognized; heterogeneous integration; heterogeneous integration packaging micro nano electronics dr jalilvand contribution field thin film integrated microelectronics ha recognized several national international platform prior microelectronics; ic assisted; ic interconnects; integrated circuit; integrated microelectronics; integration packaging; interconnect material; interconnects integrated; international platform; jalilvand assistant; jalilvand contribution; jalilvand microstructure; joining uofsc; lab central; learning method; machine learning; material dr; material interconnection; material science; mechanical reliability; method developed; micro nano; microelectronics fabrication; microelectronics ha; microstructure optimization; microstructure property; nano electronics; national international; new interconnect; novel material; novel material interconnection; optimization via; oxide fuel; packaging micro; ph material; platform prior; prior joining; prior microelectronics; professor chemical; property relationship; received sc; recognized several; relationship interconnects; reliability ic; reliability lab; reliability solder; sc ph; sc ph material science engineering prior joining uofsc faculty course ph; science engineering; several national; silicon glass; solder joint; solid oxide; studied new; studied new interconnect material dr jalilvand microstructure property relationship interconnects integrated circuit ic assisted machine learning method developed collaboration department computer science engineering uofsc; technique enhance; tgv based; thermo mechanical; thermo mechanical reliability solder joint; thin film; tsv tgv; unique electroplating; uofsc faculty; uofsc received; via tsv; via unique; wa graduate; wa graduate assistant microelectronics fabrication reliability lab central florida; worked silicon; worked silicon glass via tsv tgv based integration; working microstructure
"Jamshidi, Pooyan ",adversarial machine; adversarial machine learning; artificial intelligence; autonomic computing; computer system; learning system; machine learning; machine learning system
"Kanapala, Neema ",kanapala teach; neema kanapala; neema kanapala teach various undergraduate course; teach various; undergraduate course; various undergraduate
"Karakalos, Stavros G.",achieved creating; activation energy; atomic layer; auger electron; catalyst increase; catalyst necessity; catalyst reactant; catalyst surface; catalytic process; catalytic treatment; change reaction; composition electronic; composition electronic property outermost atomic layer solid material; conclusion important; creating new; derived study; desorption tpd; determine structure; draw safe; efficient technique; electron spectroscopy; electronic change; electronic property; energetic pathway; energy end; fundamental importance; goal catalyst; group main; group use; heterogeneous catalytic; high vacuum; importance group; important information; important order; increase rate; induced auger; information derived; interaction catalyst; interaction catalyst reactant interaction lead new intermediate lower activation energy end; interaction lead; intermediate lower; ion mass; layer solid; lead new; lower activation; main goal; mass spectroscopy; mechanism various; model catalyst; model system; nap xps; necessity group; new energetic; new intermediate; order draw; outermost atomic; pathway reaction; photoelectron spectroscopy; process fundamental; programmed desorption; property outermost; radiation photoelectron; rate reaction; ray induced; ray induced auger electron spectroscopy xaes; ray synchrotron; reactant interaction; reaction achieved; reaction mechanism; reaction use; safe conclusion; secondary ion; secondary ion mass spectroscopy sims situ catalytic treatment; sims situ; situ catalytic; situ study; solid material; spectroscopy sims; spectroscopy ups; spectroscopy xaes; spectroscopy xps; srpes; structural electronic; study catalyst; study model; study model system important order draw safe conclusion important information derived study model catalyst surface undergo structural electronic change reaction use efficient technique ultra high vacuum situ study catalyst necessity group use ray synchrotron radiation photoelectron spectroscopy xps; surface undergo; synchrotron radiation; system important; technique ultra; temperature programmed; temperature programmed desorption tpd; tprs; ultra high; ultra violet; ultra violet photoelectron spectroscopy ups; undergo structural; understanding reaction; understanding reaction mechanism various heterogeneous catalytic process fundamental importance group main goal catalyst increase rate reaction achieved creating new energetic pathway reaction; use efficient; use ray; vacuum situ; various heterogeneous; violet photoelectron
"Karakchi, Rasha",data analytics; fpga overlay; heterogeneous computing; specialpurpose processor
"Khan, Asif",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Khan, Jamil   A.",analysis combustion; analysis ic; cfd analysis; cfd analysis combustion process etc; change solidification; channel heat; combustion process; computational experimental; computational experimental fluid dynamic related contaminant transport room; contaminant transport; distribution machining; dr khan; dr khan modeling manufacturing process; dynamic related; experimental fluid; flow phase; fluid dynamic; fluid flow; heat transfer; heat transfer fluid flow phase change solidification melting casting; heat transfer porous medium; ic engine; khan modeling; manufacturing process; melting casting; micro channel; micro channel heat transfer; modeling manufacturing; phase change; porous medium; process etc; related contaminant; solidification melting; temperature distribution; temperature distribution machining; thermodynamic analysis; thermodynamic analysis ic engine; transfer fluid; transfer porous; transport room; welding
"Kidane, Addis ",behavior material; digital image; digital image correlation; dynamic behavior; dynamic behavior material; image correlation; multifunctional material
"Knight, Travis W.",advanced nuclear; alternative us; alternative us nuclear power including hydrogen; area advanced; dr knight; dr knight area advanced nuclear fuel material; fuel cycle; fuel material; including hydrogen; knight area; nuclear fuel; nuclear fuel cycle; nuclear power; nuclear safeguard; power including; power propulsion; space nuclear; space nuclear power propulsion; us nuclear
"Koppel, Tarmo",ai application; application business; assessment risk; assistant chatbots; business virtual; decision support; health safety; health safety monitoring; industry; internet thing; internet thing iot; koppel topic; productivity enhancement; remote sensing; risk management; safety monitoring; sensor network; smart manufacturing; smart workplace; tarmo koppel; tarmo koppel topic ai application business virtual assistant chatbots; thing iot; threat assessment; threat assessment risk management; topic ai; virtual assistant
"Lauterbach, Jochen",ammonia decomposition; ammonia decomposition synthesis; conversion; decomposition synthesis; heterogeneous catalysis; highthroughput screening; machine learning
"Lee, Dongkyu",energy application; nanostructured oxide; oxide electrocatalysis
"Lessner , Susan M.",acute cardiovascular; adverse interaction; aim develop; aim develop method identify patient elevated risk acute cardiovascular syndrome material failure play major role use experimental computational approach understand artery wall failure mechanism collaborate faculty mechanical engineering uofsc; angiogenesis atherosclerotic; approach understand; arterial dissection; arterial tissue; artery wall; atherosclerotic plaque; attack stroke; biological factor; biological side; biology biomechanics; biomechanical biological; biomechanics atherosclerosis; biomechanics front; bldg room; blood vessel; cardiovascular event; cardiovascular syndrome; cause acute; collaborate faculty; computational approach; destabilizing factor; destabilizing factor plaque progression use transgenic mouse model human endarterectomy specimen examine relationship mechanical loading environment; develop method; elevated risk; emphasis mechanical; emphasis mechanical failure plaque rupture intraplaque angiogenesis atherosclerotic plaque rupture leading cause acute cardiovascular event heart attack stroke evidence suggests plaque rupture result adverse interaction biomechanical biological factor focus understanding interplay type factor; endarterectomy specimen; engineering uofsc; event heart; evidence suggests; examine relationship; experimental computational; expression biomechanics; factor focus; factor plaque; faculty mechanical; failure mechanism; failure plaque; failure play; ferry road; focus understanding; focus vascular; garner ferry; gene expression; greenville hospital; heart attack; human endarterectomy; identify patient; incidence plaque; interaction biomechanical; interested intraplaque; interplay type; intraplaque angiogenesis; leading cause; lessner work; loading environment; major role; material failure; matrix organization; mechanical engineering; mechanical failure; mechanical loading; mechanism collaborate; mechano sensitive; mechano sensitive gene expression biomechanics front; medicine bldg; method identify; method reduce; micromechanics arterial; model human; mouse model; musc; new blood; new blood vessel growth; order develop; order develop method reduce incidence plaque rupture biological side; palmetto health; particularly interested; particularly interested intraplaque angiogenesis; patient elevated; plaque progression; plaque rupture; play major; progression use; reduce incidence; relationship mechanical; result adverse; risk acute; road columbia; role use; room garner; rupture arterial; rupture biological; rupture intraplaque; rupture leading; rupture result; sc lessner; sc lessner work focus vascular biology biomechanics atherosclerosis; school medicine; school medicine bldg room garner ferry road columbia; sensitive gene; specimen examine; stroke evidence; study micromechanics; study micromechanics arterial tissue failure plaque rupture arterial dissection; suggests plaque; surgeon greenville; syndrome material; tissue failure; together vascular; together vascular surgeon greenville hospital; transgenic mouse; type factor; understand artery; understanding interplay; use experimental; use transgenic; vascular biology; vascular surgeon; vessel growth; wall failure; work focus
"Lewis, Jeremy ",jeremy lewis; jeremy lewis teach various undergraduate course; lewis teach; teach various; undergraduate course; various undergraduate
"Li, Chen ",aim basic; application theory; basic developing; behavior application; control modeling; control modeling aim basic developing verifying theory two phase transport behavior application theory towards controlling two phase heat flow micro nano scale; controlling two; developing verifying; dr li; dr li micro nano scale two phase heat flow physic; flow micro; flow physic; heat flow; li micro; micro nano; modeling aim; nano scale; phase heat; phase transport; prediction; scale two; theory towards; theory two; towards controlling; transport behavior; two phase; verifying theory
